Metric,Description,Approach,Comments
Dataset representativeness coverage,Coverage vs. defined population segments,(# key segments meeting sample threshold ÷ # defined segments) × 100,"Define lawful, appropriate segments; document limitations"
Dataset completeness,Completeness of dataset documentation,(# required fields populated ÷ # required fields) × 100,"Include collection, consent, licenses, known issues"
Demographic parity difference,Gap in positive decision rates,max(P_group) − min(P_group),Use only where appropriate for context
Documentation freshness,Time since last doc update,Median days since last update across artifacts,"Flag stale docs (e.g., >90 days) for prod models"
DPIA/LIA completion rate,Privacy impact assessment completion where applicable,(# completed DPIA/LIA for applicable projects ÷ # applicable projects) × 100,Regulatory-sensitive; document scoping rationale
DSR average response time,Average time to fulfil data subject requests,Sum of (close time − open time) ÷ # requests,Report by request type; compare to SLA
DSR SLA compliance,Requests closed within SLA,(# requests closed within SLA ÷ # requests) × 100,Target ≥ 95%
Equal opportunity difference,Gap in true positive rates across groups,max(TPR_group) − min(TPR_group),Complement with confidence intervals
Escalation response time,Response speed to safety escalations,Median time from escalation open to first action,Track by severity
Ethics & AI training completion,Completion of required training,(# required learners completed ÷ # required learners) × 100,Report by role; refresh annually
Explanation availability,Availability of explanations when required,(# decisions with explanation provided ÷ # decisions requiring explanation) × 100,Track type (global/local) and audience
External audit findings (open),Outstanding issues from independent audits,Count of open findings,Track severity and time open
Fairness drift over time,Change in fairness metric vs. baseline,Current disparity − baseline disparity,Investigate root causes when increasing
Feedback resolution time,Time to close feedback/action items,Median days from open to close,"Track by category (safety, UX, quality)"
Group fairness disparity (ΔFPR),Gap in false positive rates across groups,max(FPR_group) − min(FPR_group),"Report lawful, appropriate groups; aim → 0"
Hallucination rate,Unsupported or fabricated model claims,(# outputs with unsupported claims ÷ # outputs sampled) × 100,Use fact-grounded eval sets or human review
High-risk use case identification rate,Visibility of high-risk AI use cases,(# high-risk use cases identified ÷ # total AI use cases) × 100,Use a standardised risk rubric
High-severity incident rate,Serious AI-related incidents,"(# Sev-1/Sev-2 incidents ÷ volume, e.g., per 10k requests)",Define severity rubric and SLOs
HITL coverage,Use of human review where required,(# decisions routed to reviewer ÷ # decisions requiring review) × 100,Define routing rules clearly
Inference cost per 1k requests,Unit cost of serving AI,"(Total inference cost ÷ # requests) × 1,000",Break down by model/tier; watch GPU utilisation
Inference energy per 1k req,Energy per serving workload,"(Total inference kWh ÷ # requests) × 1,000",Track by model and hardware
Jailbreak success rate,Bypass of safety guardrails,(# successful jailbreaks ÷ # jailbreak attempts) × 100,Track by attack class; lower is better
Labelling accuracy (provenance),Correctness of AI-content labels,(# correctly labelled outputs ÷ # labelled outputs sampled) × 100,Audit across channels
Latency P95,Tail latency for responses,95th percentile latency over period,Segment by endpoint and payload size
Least privilege compliance,Access right-sizing for AI systems,(# principals passing access review ÷ # principals reviewed) × 100,Include data stores and model endpoints
License compliance rate,Compliance with dataset/model/component licenses,(# assets with validated license compliance ÷ # assets assessed) × 100,Include terms for derivative use and redistribution
Model card completeness,Depth/completeness of model documentation,(# required fields populated ÷ # required fields) × 100,"Include intended use, limits, evals, risks, contacts"
Model degradation rate,Change in performance vs. baseline,(Current metric − baseline metric) ÷ time,Investigate when exceeding threshold
Model exfil detection coverage,Coverage of exfiltration detection controls,(# exfil detection controls active ÷ # planned controls) × 100,"E.g., canary prompts, rate limits, egress filters"
Model retirement hygiene,Decommissioning discipline,(# retired models with full offboarding artifacts ÷ # models retired) × 100,"Include data deletion, access revocation"
Monitoring coverage,Coverage of planned monitors,(# monitors implemented ÷ # monitors planned) × 100,"Include data, performance, safety, cost"
MTTD (incidents),Mean time to detect AI incidents,Average time from incident start to detection,Aim to reduce via monitoring
MTTR (incidents),Mean time to resolve AI incidents,Average time from detection to containment/resolution,Include postmortem quality gates
OOD detection rate,Detection of out-of-distribution inputs,(True positives ÷ actual OOD cases) × 100,Pair with false positive rate on in-distribution
Output redaction effectiveness,Effectiveness of PII/sensitive redaction,(# sensitive items correctly redacted ÷ # sensitive items detected) × 100,Spot-check with human review
Override rate,Frequency of human overrides,(# overridden AI decisions ÷ # AI decisions reviewed) × 100,High rate may indicate model issues
PII leakage rate (outputs),Incidence of PII in model outputs,(# outputs flagged by PII detectors ÷ # outputs sampled) × 100,Validate detectors; use stratified sampling
Poisoning detection coverage,Coverage of training data integrity checks,(# data sources scanned with poisoning checks ÷ # data sources) × 100,Include hash/signature checks
Policy coverage ratio,Extent to which required AI governance policies exist,(# policies implemented ÷ # policies required by your framework) × 100,"Target ≥ 90–100%; define required set (e.g., risk, data, safety, security, incident response)"
Policy exception rate,Frequency of approved exceptions to AI policies,(# approved exceptions open ÷ # total policies) × 100,Lower is better; track ageing of exceptions
Postmortem quality score,Quality of incident postmortems,"(% with root cause, actions, owners, due dates ÷ # postmortems) × 100",Sample for depth; aim ≥ 90%
Prompt injection success rate,Attacks causing policy violations or data exfil,(# successful injections ÷ # injection attempts) × 100,Include tool-calling exploits
RACI clarity score,Clarity of roles for key AI processes,(# processes with documented R/A/C/I ÷ # key processes) × 100,Aim for 100% on high-risk processes
Recourse availability,Availability of appeal or recourse paths,(# decisions with documented recourse ÷ # decisions requiring recourse) × 100,Include turnaround expectations
Red-team coverage,Coverage of defined threat categories tested,(# categories tested ÷ # categories defined) × 100,"Map to a threat model (e.g., MITRE ATLAS)"
Red-team fix rate,Remediation of red-team findings,(# findings remediated by due date ÷ # findings) × 100,Prioritise high-severity
Regulatory mapping completeness,Mapping of regulatory requirements to controls,(# relevant requirements mapped ÷ # relevant requirements) × 100,Keep jurisdiction matrix current
Reproducibility rate,Ability to reproduce training/inference results,(# successful reproductions ÷ # reproduction attempts) × 100,"Pin seeds, versions, data snapshots"
Requirement-to-test traceability,Linkage from requirements to tests,(# requirements with mapped tests ÷ # requirements) × 100,Critical for regulated contexts
Risk register coverage,Coverage of identified AI risks in the risk register,(# AI risks logged ÷ # AI risks identified in assessments) × 100,Tie to enterprise risk taxonomy
Robustness under shift,Performance drop under distribution shift,((Baseline − Shifted performance) ÷ Baseline) × 100,"Test realistic shifts (domain, noise, length)"
Runbook completeness,Quality of operational runbooks,(# required sections present ÷ # required sections) × 100,"Include rollback, kill switches, comms"
Safety enforcement rate,Blocking of harmful outputs/requests,(# harmful attempts blocked ÷ # harmful attempts) × 100,Requires test harness or labelled traffic
Safety eval coverage,Coverage of safety evaluation suites,(# evals run from suite ÷ # evals in suite) × 100,"Cover misuse, harms, bias, robustness"
SBOM completeness (AI stack),Software/Model BOM completeness,(# components listed in SBOM ÷ # components discovered) × 100,"Include datasets, models, prompts"
Secrets exposure incidents,"Secrets accidentally exposed (e.g., in prompts/logs)",Count per period,Root-cause recurring issues
Selective risk (abstention),Error rate on non-abstained outputs,(Errors on accepted outputs ÷ # accepted outputs) × 100,Tune confidence thresholds
Sensitive data exposure rate,Unintended presence of sensitive data in train/infer,(# records with sensitive attributes unintentionally present ÷ # records sampled) × 100,Use DLP scans; report by sensitivity class
Shadow mode duration adherence,Adherence to planned shadow testing period,Median actual shadow days ÷ planned shadow days,Shortcuts raise risk; justify deviations
Synthetic data usage ratio,Proportion of synthetic data used,(# synthetic training examples ÷ # total training examples) × 100,"Note purpose (augmentation, privacy) and quality checks"
Task performance (baseline),Primary task metric at release,"Report metric (e.g., accuracy/F1/AUC/BLEU) on holdout",Define acceptance thresholds pre-release
Test coverage (code),Automated test coverage of codebase,(Lines executed by tests ÷ total lines) × 100,"Track unit, integration, data validation"
Third-party model assessment coverage,Due diligence on external models/APIs,(# third-party models assessed ÷ # third-party models used) × 100,"Include security, privacy, licensing"
Throughput stability,Stability of throughput under load,Coefficient of variation of requests/sec,Lower is better; test with load profiles
Timeout rate,Requests timing out,(# timed-out requests ÷ # total requests) × 100,Correlate with latency and autoscaling
Toxicity rate,Rate of toxic or abusive content,(# outputs flagged by toxicity checks ÷ # outputs sampled) × 100,Calibrate for false positives
Training emissions (kgCO2e),Carbon footprint of training,Energy (kWh) × grid emission factor,Use location-based or market-based factors
Training energy (kWh),Energy used per training run,Sum of (power draw × hours) across hardware,Correlate with emissions and cost
Unsafe content false negative rate,Harmful outputs not blocked,(# harmful outputs missed by filters ÷ # harmful attempts) × 100,Pair with false positive rate
User feedback rate,Feedback captured per usage,"(# feedback items ÷ # user interactions) × 1,000",Encourage in-product feedback
User satisfaction (CSAT/NPS),User sentiment about AI features,CSAT % satisfied or NPS per standard method,Segment by user type
Vendor SLA compliance,Vendors meeting contractual SLAs,(# months in compliance ÷ # months measured) × 100,Track penalties and remediation
Version traceability completeness,Lineage coverage across data→code→model,(# models with full lineage links ÷ # production models) × 100,"Include datasets, code commit, hyperparams, config"
Vulnerability closure time (ML stack),Speed to remediate CVEs,Median days from CVE publish to fix for in-scope components,Track by severity
